OBJECTID,DATE,Count_
416,2021/05/02 14:00:00+00,41625
417,2021/05/03 14:00:00+00,41698
418,2021/05/04 14:00:00+00,41762
419,2021/05/05 14:00:00+00,41849
420,2021/05/06 14:00:00+00,41903
421,2021/05/07 14:00:00+00,41999
422,2021/05/08 14:00:00+00,42101
423,2021/05/09 14:00:00+00,42176
424,2021/05/10 14:00:00+00,42242
425,2021/05/11 14:00:00+00,42283
426,2021/05/12 14:00:00+00,42341
427,2021/05/13 14:00:00+00,42422
428,2021/05/14 14:00:00+00,42469
429,2021/05/15 14:00:00+00,42548
430,2021/05/16 14:00:00+00,42621
431,2021/05/17 14:00:00+00,42679
432,2021/05/18 14:00:00+00,42721
433,2021/05/19 14:00:00+00,42778
434,2021/05/20 14:00:00+00,42827
435,2021/05/21 14:00:00+00,42864
436,2021/05/22 14:00:00+00,42915
437,2021/05/23 14:00:00+00,43011
438,2021/05/24 14:00:00+00,43043
439,2021/05/25 14:00:00+00,43095
440,2021/05/26 14:00:00+00,43124
441,2021/05/27 14:00:00+00,43168
442,2021/05/28 14:00:00+00,43189
443,2021/05/29 14:00:00+00,43214
444,2021/05/30 14:00:00+00,43233
445,2021/05/31 14:00:00+00,43267
446,2021/06/01 14:00:00+00,43303
447,2021/06/02 14:00:00+00,43336
448,2021/06/03 14:00:00+00,43352
449,2021/06/04 14:00:00+00,43373
450,2021/06/05 14:00:00+00,43393
451,2021/06/06 14:00:00+00,43419
452,2021/06/07 14:00:00+00,43444
453,2021/06/08 14:00:00+00,43458
454,2021/06/09 14:00:00+00,43469
455,2021/06/10 14:00:00+00,43488
456,2021/06/11 14:00:00+00,43503
457,2021/06/12 14:00:00+00,43522
458,2021/06/13 14:00:00+00,43535
459,2021/06/14 14:00:00+00,43551
460,2021/06/15 14:00:00+00,43563
461,2021/06/16 14:00:00+00,43578
462,2021/06/17 14:00:00+00,43593
463,2021/06/18 14:00:00+00,43604
464,2021/06/19 14:00:00+00,43618
465,2021/06/20 14:00:00+00,43622
466,2021/06/21 14:00:00+00,43633
467,2021/06/22 14:00:00+00,43643
468,2021/06/23 14:00:00+00,43654
469,2021/06/24 14:00:00+00,43659
470,2021/06/25 14:00:00+00,43662
471,2021/06/26 14:00:00+00,43681
472,2021/06/27 14:00:00+00,43695
473,2021/06/28 14:00:00+00,43705
474,2021/06/29 14:00:00+00,43713
475,2021/06/30 14:00:00+00,43719
476,2021/07/01 14:00:00+00,43725
477,2021/07/02 14:00:00+00,43734
478,2021/07/03 14:00:00+00,43738
479,2021/07/04 14:00:00+00,43743
480,2021/07/05 14:00:00+00,43745
481,2021/07/06 14:00:00+00,43758
482,2021/07/07 14:00:00+00,43768
483,2021/07/08 14:00:00+00,43781
484,2021/07/09 14:00:00+00,43786
485,2021/07/10 14:00:00+00,43790
486,2021/07/11 14:00:00+00,43809
487,2021/07/12 14:00:00+00,43816
488,2021/07/13 14:00:00+00,43837
489,2021/07/14 14:00:00+00,43851
490,2021/07/15 14:00:00+00,43869
491,2021/07/16 14:00:00+00,43882
492,2021/07/17 14:00:00+00,43891
493,2021/07/18 14:00:00+00,43909
494,2021/07/19 14:00:00+00,43918
495,2021/07/20 14:00:00+00,43930
496,2021/07/21 14:00:00+00,43948
497,2021/07/22 14:00:00+00,43961
498,2021/07/23 14:00:00+00,43978
499,2021/07/24 14:00:00+00,43997
500,2021/07/25 14:00:00+00,44018
501,2021/07/26 14:00:00+00,44038
502,2021/07/27 14:00:00+00,44054
503,2021/07/28 14:00:00+00,44088
504,2021/07/29 14:00:00+00,44121
505,2021/07/30 14:00:00+00,44140
506,2021/07/31 14:00:00+00,44171
507,2021/08/01 14:00:00+00,44204
508,2021/08/02 14:00:00+00,44234
509,2021/08/03 14:00:00+00,44266
510,2021/08/04 14:00:00+00,44309
511,2021/08/05 14:00:00+00,44359
512,2021/08/06 14:00:00+00,44396
513,2021/08/07 14:00:00+00,44440
514,2021/08/08 14:00:00+00,44482
515,2021/08/09 14:00:00+00,44549
516,2021/08/10 14:00:00+00,44586
517,2021/08/11 14:00:00+00,44645
518,2021/08/12 14:00:00+00,44706
519,2021/08/13 14:00:00+00,44761
520,2021/08/14 14:00:00+00,44828
521,2021/08/15 14:00:00+00,44828
522,2021/08/16 14:00:00+00,44950
523,2021/08/17 14:00:00+00,45025
524,2021/08/18 14:00:00+00,45104
525,2021/08/19 14:00:00+00,45174
526,2021/08/20 14:00:00+00,45235
527,2021/08/21 14:00:00+00,45296
528,2021/08/22 14:00:00+00,45371
529,2021/08/23 14:00:00+00,45434
530,2021/08/24 14:00:00+00,45505
531,2021/08/25 14:00:00+00,45592
532,2021/08/26 14:00:00+00,45672
533,2021/08/27 14:00:00+00,45747
534,2021/08/28 14:00:00+00,45842
535,2021/08/29 14:00:00+00,45934
536,2021/08/30 14:00:00+00,46013
537,2021/08/31 14:00:00+00,46085
538,2021/09/01 14:00:00+00,46161
539,2021/09/02 14:00:00+00,46240
540,2021/09/03 14:00:00+00,46337
541,2021/09/04 14:00:00+00,46442
542,2021/09/05 14:00:00+00,46526
543,2021/09/06 14:00:00+00,46585
544,2021/09/07 14:00:00+00,46658
545,2021/09/08 14:00:00+00,46737
546,2021/09/09 14:00:00+00,46807
547,2021/09/10 14:00:00+00,46884
548,2021/09/11 14:00:00+00,46987
549,2021/09/12 14:00:00+00,47063
550,2021/09/13 14:00:00+00,47141
551,2021/09/14 14:00:00+00,47215
552,2021/09/15 14:00:00+00,47297
553,2021/09/16 14:00:00+00,47396
554,2021/09/17 14:00:00+00,47455
555,2021/09/18 14:00:00+00,47523
556,2021/09/19 14:00:00+00,47625
557,2021/09/20 14:00:00+00,47668
558,2021/09/21 14:00:00+00,47705
559,2021/09/22 14:00:00+00,47844
560,2021/09/23 14:00:00+00,47917
561,2021/09/24 14:00:00+00,47998
562,2021/09/25 14:00:00+00,48090
563,2021/09/26 14:00:00+00,48137
564,2021/09/27 14:00:00+00,48160
565,2021/09/28 14:00:00+00,48284
566,2021/09/29 14:00:00+00,48364
567,2021/09/30 14:00:00+00,48632
568,2021/10/01 14:00:00+00,48715
569,2021/10/02 14:00:00+00,48804
570,2021/10/03 14:00:00+00,48893
571,2021/10/04 14:00:00+00,48968
572,2021/10/05 14:00:00+00,49026
573,2021/10/06 14:00:00+00,49095
574,2021/10/07 14:00:00+00,49171
575,2021/10/08 14:00:00+00,49246
576,2021/10/09 14:00:00+00,49347
577,2021/10/10 14:00:00+00,49417
578,2021/10/11 14:00:00+00,49488
579,2021/10/12 14:00:00+00,49550
580,2021/10/13 14:00:00+00,49621
581,2021/10/14 14:00:00+00,49705
582,2021/10/15 14:00:00+00,49705
583,2021/10/16 14:00:00+00,49840
584,2021/10/17 14:00:00+00,49906
585,2021/10/18 14:00:00+00,49978
586,2021/10/19 14:00:00+00,50038
587,2021/10/20 14:00:00+00,50085
588,2021/10/21 14:00:00+00,50137
589,2021/10/22 14:00:00+00,50196
590,2021/10/23 14:00:00+00,50287
591,2021/10/24 14:00:00+00,50323
592,2021/10/25 14:00:00+00,50381
593,2021/10/26 14:00:00+00,50414
594,2021/10/27 14:00:00+00,50471
595,2021/10/28 14:00:00+00,50527
596,2021/10/29 14:00:00+00,50575
597,2021/10/30 14:00:00+00,50628
598,2021/10/31 14:00:00+00,50685
599,2021/11/01 14:00:00+00,50764
600,2021/11/02 14:00:00+00,50799
601,2021/11/03 14:00:00+00,50833
602,2021/11/04 14:00:00+00,50885
603,2021/11/05 14:00:00+00,50928
604,2021/11/06 14:00:00+00,50969
605,2021/11/07 15:00:00+00,51033
606,2021/11/08 15:00:00+00,51075
607,2021/11/09 15:00:00+00,51082
608,2021/11/10 15:00:00+00,51157
609,2021/11/11 15:00:00+00,51219
610,2021/11/12 15:00:00+00,51276
611,2021/11/13 15:00:00+00,51327
612,2021/11/14 15:00:00+00,51363
613,2021/11/15 15:00:00+00,51410
614,2021/11/16 15:00:00+00,51450
615,2021/11/17 15:00:00+00,51502
616,2021/11/18 15:00:00+00,51562
617,2021/11/19 15:00:00+00,51643
618,2021/11/20 15:00:00+00,51701
619,2021/11/21 15:00:00+00,51772
620,2021/11/22 15:00:00+00,51813
621,2021/11/23 15:00:00+00,51813
622,2021/11/24 15:00:00+00,51927
623,2021/11/25 15:00:00+00,51996
624,2021/11/26 15:00:00+00,52066
